Date,Dragino Door Sensor,Dragino Window 1 Sensor,Dragino Window 2 Sensor,humidity,co2,temperature,motion,light,occupancy,soundAvg,soundPeak,ltrCnt,rtlCnt
2023-11-27 01:05:00+00:00,0.0,0.0,0.0,17.0,435.0,22.9,0.0,0.0,0.0,32.0,59.0,0.0,0.0
2023-11-27 01:10:00+00:00,0.0,0.0,0.0,17.0,430.0,22.9,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 01:15:00+00:00,0.0,0.0,0.0,17.0,434.0,22.9,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 01:20:00+00:00,0.0,0.0,0.0,17.0,442.0,22.9,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 01:25:00+00:00,0.0,0.0,0.0,17.0,443.0,22.9,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 01:30:00+00:00,0.0,0.0,0.0,17.0,450.0,22.9,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 01:35:00+00:00,0.0,0.0,0.0,17.0,460.0,22.9,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 01:40:00+00:00,0.0,0.0,0.0,17.0,433.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 01:45:00+00:00,0.0,0.0,0.0,17.0,433.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 01:50:00+00:00,0.0,0.0,0.0,17.0,453.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 01:55:00+00:00,0.0,0.0,0.0,17.0,436.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 02:00:00+00:00,0.0,0.0,0.0,17.0,448.0,23.0,0.0,0.0,0.0,32.0,67.0,0.0,0.0
2023-11-27 02:05:00+00:00,0.0,0.0,0.0,17.0,452.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 02:10:00+00:00,0.0,0.0,0.0,17.0,433.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 02:15:00+00:00,0.0,0.0,0.0,17.0,456.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 02:20:00+00:00,0.0,0.0,0.0,17.0,445.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
2023-11-27 02:25:00+00:00,0.0,0.0,0.0,17.0,456.0,23.0,0.0,0.0,0.0,31.0,59.0,0.0,0.0
