Date,openDoors,humidity,co2,temperature,motion,light,soundAvg,soundPeak,openWindows
2023-12-15 15:50:00+00:00,0.0,22.0,503.0,22.5,0.0,3.0,36.0,59.0,0.0
2023-12-15 15:55:00+00:00,0.0,22.0,484.0,22.5,0.0,3.0,35.0,59.0,0.0
2023-12-15 16:00:00+00:00,0.0,21.0,484.0,22.5,0.0,3.0,35.0,59.0,0.0
2023-12-15 16:05:00+00:00,0.0,21.0,473.0,22.5,0.0,3.0,36.0,59.0,0.0
2023-12-15 16:10:00+00:00,0.0,21.0,490.0,22.5,0.0,3.0,35.0,59.0,0.0
2023-12-15 16:15:00+00:00,0.0,21.0,484.0,22.5,0.0,3.0,35.0,59.0,0.0
2023-12-15 16:20:00+00:00,0.0,21.0,482.0,22.4,0.0,3.0,35.0,59.0,0.0
2023-12-15 16:25:00+00:00,0.0,21.0,473.0,22.4,0.0,3.0,35.0,59.0,0.0
2023-12-15 16:30:00+00:00,0.0,21.0,479.0,22.4,0.0,3.0,35.0,59.0,0.0
2023-12-15 16:35:00+00:00,0.0,21.0,481.0,22.4,0.0,3.0,36.0,59.0,0.0
2023-12-15 16:40:00+00:00,0.0,21.0,462.0,22.4,0.0,3.0,36.0,59.0,0.0
2023-12-15 16:45:00+00:00,0.0,21.0,470.0,22.4,0.0,3.0,35.0,59.0,0.0
2023-12-15 16:50:00+00:00,0.0,21.0,467.0,22.4,0.0,3.0,36.0,59.0,0.0
2023-12-15 16:55:00+00:00,0.0,21.0,471.0,22.4,0.0,3.0,36.0,59.0,0.0
2023-12-15 17:00:00+00:00,0.0,21.0,461.0,22.3,0.0,3.0,36.0,59.0,0.0
2023-12-15 17:05:00+00:00,0.0,21.0,461.0,22.3,0.0,3.0,36.0,59.0,0.0
2023-12-15 17:10:00+00:00,0.0,21.0,448.0,22.4,0.0,3.0,36.0,59.0,0.0
2023-12-15 17:15:00+00:00,0.0,21.0,461.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 17:20:00+00:00,0.0,21.0,461.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 17:25:00+00:00,0.0,21.0,461.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 17:30:00+00:00,0.0,21.0,457.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 17:35:00+00:00,0.0,21.0,454.0,22.3,0.0,3.0,36.0,59.0,0.0
2023-12-15 17:40:00+00:00,0.0,21.0,434.0,22.3,0.0,3.0,36.0,59.0,0.0
2023-12-15 17:45:00+00:00,0.0,21.0,460.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 17:50:00+00:00,0.0,21.0,452.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 17:55:00+00:00,0.0,21.0,440.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 18:00:00+00:00,0.0,21.0,447.0,22.3,0.0,3.0,36.0,59.0,0.0
2023-12-15 18:05:00+00:00,0.0,21.0,451.0,22.3,0.0,3.0,36.0,59.0,0.0
2023-12-15 18:10:00+00:00,0.0,21.0,457.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 18:15:00+00:00,0.0,21.0,447.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 18:20:00+00:00,0.0,21.0,463.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 18:25:00+00:00,0.0,21.0,448.0,22.3,0.0,3.0,35.0,59.0,0.0
2023-12-15 18:30:00+00:00,0.0,21.0,441.0,22.3,0.0,3.0,36.0,59.0,0.0
2023-12-15 18:35:00+00:00,0.0,21.0,446.0,22.3,0.0,3.0,36.0,59.0,0.0
2023-12-15 18:40:00+00:00,0.0,21.0,450.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 18:45:00+00:00,0.0,21.0,442.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 18:50:00+00:00,0.0,21.0,458.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 18:55:00+00:00,0.0,21.0,453.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:00:00+00:00,0.0,21.0,465.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:05:00+00:00,0.0,21.0,438.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:10:00+00:00,0.0,21.0,469.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:15:00+00:00,0.0,21.0,468.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:20:00+00:00,0.0,21.0,425.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:25:00+00:00,0.0,21.0,447.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:30:00+00:00,0.0,21.0,464.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:35:00+00:00,0.0,21.0,458.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:40:00+00:00,0.0,21.0,443.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:45:00+00:00,0.0,21.0,450.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:50:00+00:00,0.0,21.0,450.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 19:55:00+00:00,0.0,21.0,448.0,22.2,0.0,3.0,36.0,59.0,0.0
2023-12-15 20:00:00+00:00,0.0,21.0,448.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 20:05:00+00:00,0.0,21.0,457.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 20:10:00+00:00,0.0,21.0,467.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 20:15:00+00:00,0.0,21.0,457.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 20:20:00+00:00,0.0,21.0,464.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 20:25:00+00:00,0.0,21.0,474.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 20:30:00+00:00,0.0,21.0,460.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 20:35:00+00:00,0.0,21.0,457.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 20:40:00+00:00,0.0,21.0,465.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 20:45:00+00:00,0.0,21.0,467.0,22.2,0.0,3.0,34.0,59.0,0.0
2023-12-15 20:50:00+00:00,0.0,21.0,461.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 20:55:00+00:00,0.0,21.0,474.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:00:00+00:00,0.0,21.0,459.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:05:00+00:00,0.0,21.0,464.0,22.2,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:10:00+00:00,0.0,21.0,446.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:15:00+00:00,0.0,21.0,458.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:20:00+00:00,0.0,21.0,447.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:25:00+00:00,0.0,21.0,459.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:30:00+00:00,0.0,21.0,447.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:35:00+00:00,0.0,21.0,469.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:40:00+00:00,0.0,21.0,463.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:45:00+00:00,0.0,21.0,480.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:50:00+00:00,0.0,21.0,471.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 21:55:00+00:00,0.0,21.0,468.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:00:00+00:00,0.0,21.0,444.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:05:00+00:00,0.0,21.0,479.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:10:00+00:00,0.0,21.0,467.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:15:00+00:00,0.0,21.0,481.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:20:00+00:00,0.0,21.0,478.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:25:00+00:00,0.0,21.0,468.0,22.1,0.0,3.0,34.0,59.0,0.0
2023-12-15 22:30:00+00:00,0.0,21.0,453.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:35:00+00:00,0.0,21.0,477.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:40:00+00:00,0.0,21.0,480.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:45:00+00:00,0.0,21.0,465.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:50:00+00:00,0.0,21.0,473.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 22:55:00+00:00,0.0,21.0,475.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:00:00+00:00,0.0,21.0,478.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:05:00+00:00,0.0,21.0,472.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:10:00+00:00,0.0,21.0,458.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:15:00+00:00,0.0,21.0,459.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:20:00+00:00,0.0,21.0,479.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:25:00+00:00,0.0,21.0,476.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:30:00+00:00,0.0,21.0,474.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:35:00+00:00,0.0,21.0,466.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:40:00+00:00,0.0,21.0,469.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:45:00+00:00,0.0,21.0,461.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:50:00+00:00,0.0,21.0,462.0,22.1,0.0,3.0,35.0,59.0,0.0
2023-12-15 23:55:00+00:00,0.0,21.0,475.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 00:00:00+00:00,0.0,21.0,459.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 00:05:00+00:00,0.0,21.0,475.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 00:10:00+00:00,0.0,21.0,461.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 00:15:00+00:00,0.0,21.0,470.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 00:20:00+00:00,0.0,21.0,468.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 00:25:00+00:00,0.0,21.0,464.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 00:30:00+00:00,0.0,21.0,444.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 00:35:00+00:00,0.0,21.0,461.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 00:40:00+00:00,0.0,21.0,464.0,22.0,0.0,3.0,36.0,59.0,0.0
2023-12-16 00:45:00+00:00,0.0,21.0,467.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 00:50:00+00:00,0.0,21.0,452.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 00:55:00+00:00,0.0,21.0,465.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 01:00:00+00:00,0.0,21.0,463.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 01:05:00+00:00,0.0,21.0,464.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 01:10:00+00:00,0.0,21.0,446.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 01:15:00+00:00,0.0,21.0,461.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 01:20:00+00:00,0.0,21.0,454.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 01:25:00+00:00,0.0,21.0,465.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 01:30:00+00:00,0.0,21.0,467.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 01:35:00+00:00,0.0,21.0,451.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 01:40:00+00:00,0.0,21.0,447.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 01:45:00+00:00,0.0,21.0,450.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 01:50:00+00:00,0.0,21.0,446.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 01:55:00+00:00,0.0,21.0,432.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 02:00:00+00:00,0.0,21.0,466.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 02:05:00+00:00,0.0,21.0,468.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 02:10:00+00:00,0.0,21.0,452.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 02:15:00+00:00,0.0,21.0,463.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 02:20:00+00:00,0.0,21.0,464.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 02:25:00+00:00,0.0,21.0,460.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 02:30:00+00:00,0.0,21.0,470.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 02:35:00+00:00,0.0,21.0,464.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 02:40:00+00:00,0.0,21.0,452.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 02:45:00+00:00,0.0,21.0,463.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 02:50:00+00:00,0.0,21.0,459.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 02:55:00+00:00,0.0,21.0,464.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 03:00:00+00:00,0.0,21.0,463.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 03:05:00+00:00,0.0,21.0,457.0,22.0,0.0,3.0,34.0,59.0,0.0
2023-12-16 03:10:00+00:00,0.0,21.0,470.0,21.9,0.0,3.0,34.0,59.0,0.0
2023-12-16 03:15:00+00:00,0.0,21.0,461.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 03:20:00+00:00,0.0,21.0,476.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 03:25:00+00:00,0.0,21.0,473.0,21.9,0.0,3.0,35.0,59.0,0.0
2023-12-16 03:30:00+00:00,0.0,21.0,481.0,22.0,0.0,3.0,35.0,59.0,0.0
2023-12-16 03:35:00+00:00,0.0,21.0,461.0,21.9,0.0,3.0,34.0,59.0,0.0
